video_id,title,published_at,view_count,like_count,comment_count,duration_seconds,days_live,duration_minutes,views_per_day,engagement_rate_pct,comments_per_10k_views,category,is_outlier_hit
zN_lhtJFsgg,How Osama Bin Laden Built a Terror Network & 9/11 | Aimen Dean | FO550 Raj Shamani,2026-08-18 15:39:01+00:00,524727,11568,966,9343.0,1.0,155.7,524727,2.39,18.4,Startups & Business,False
YMTJw1G3yOM,Human Behaviour Expert: How to Read People & Command Respect | Mark Bowden | FO549 Raj Shamani,2026-08-15 15:39:08+00:00,460048,13130,616,9482.0,3.8971557971064814,158.0,118047,2.99,13.4,Culture & Society,False
h-0u0ui8ESQ,9 Titles in One Year: How Anahat Singh Became World Champion at 18 | FO548 Raj Shamani,2026-08-13 15:39:38+00:00,651226,14837,887,5308.0,5.896808574884259,88.5,110437,2.41,13.6,Culture & Society,False
ywd-Ve8a8Tc,World Order Is a Lie: The Next 50 Years Will Change Everything  | Prof. Jiang | FO547 Raj Shamani,2026-08-11 15:39:20+00:00,1770526,39088,4887,9061.0,7.8970169082175925,151.0,224202,2.48,27.6,Culture & Society,True
czkPKQ9VIU8,"How To Build & Scale a Brand: Walmart, Retail & Product Strategy | Puneet Nanda | FO546 Raj Shamani",2026-08-08 15:39:27+00:00,282001,5250,276,5399.0,10.896935889699074,90.0,25879,1.96,9.8,Startups & Business,False
zSkxqtTbEGU,Top Geopolitical Expert: Why America Is No Longer The World's Leader | Ian Bremmer|FO545 Raj Shamani,2026-08-06 15:39:28+00:00,1019111,14373,763,6254.0,12.896924315625002,104.2,79020,1.49,7.5,Geopolitics & Defense,True
QPXJ3VL7Li4,Former CIA Agent's Warning: China Doesn't Need A War To Beat America |John Sipher |FO544 Raj Shamani,2026-08-04 15:39:06+00:00,933578,15865,998,5552.0,14.89717894525463,92.5,62668,1.81,10.7,Geopolitics & Defense,True
5pZuXAUke9w,Why Fraud Calls Work: The Psychology of Trust & Authority | Sunil Bajpai | FO543 Raj Shamani,2026-08-01 15:39:01+00:00,176805,2931,277,5380.0,17.897236815625,89.7,9879,1.81,15.7,True Crime & Forensics,False
H8VLl6Y77NQ,Foreign Affairs Expert: The Hidden Rules That Control The World | Sreeram Chaulia |FO542 Raj Shamani,2026-07-30 15:39:30+00:00,406610,6591,475,5263.0,19.89690116747685,87.7,20436,1.74,11.7,Startups & Business,False
t8sS6Lk3cYo,Psychiatrist Explains: Psychology Behind Cheating & Choosing Wrong Partner |Dr. K |FO541 Raj Shamani,2026-07-28 15:39:09+00:00,459125,8190,616,7650.0,21.89714422303241,127.5,20967,1.92,13.4,True Crime & Forensics,False
5UTkieEX-bA,Money Trap: Why More Money Won’t Make You Rich & How to Escape | Alok Sama | FO540 Raj Shamani,2026-07-25 15:39:16+00:00,508285,8506,437,4496.0,24.897063204513888,74.9,20415,1.76,8.6,Finance & Wealth,False
jr0k_fOR1b0,Truth About India's Tax System: Why Honest Taxpayers Get Punished | Mohandas Pai | FO539 Raj Shamani,2026-07-23 15:39:37+00:00,396415,6855,781,7807.0,26.896820148958334,130.1,14738,1.93,19.7,Finance & Wealth,False
X1Q0ZCcPiC8,"The Real Satinder Sartaaj: Sufi Music, Punjabi Culture & Life Beyond Fame | FO538 Raj Shamani",2026-07-21 15:39:18+00:00,820463,17991,1316,5683.0,28.89704005636574,94.7,28393,2.35,16.0,Culture & Society,True
PXMyK7JxGOk,Billion-Dollar Founder: Why Success In India Is So Hard | Kiran Mazumdar-Shaw | FO537 Raj Shamani,2026-07-18 15:39:04+00:00,221462,4772,570,7614.0,31.897202093402775,126.9,6943,2.41,25.7,Startups & Business,False
a3UVcK612iU,"Astronaut Shubhanshu Shukla On Space, ISS, Zero Gravity & Human Body | FO536 Raj Shamani",2026-07-16 15:39:39+00:00,714795,18460,1132,6180.0,33.89679700081018,103.0,21087,2.74,15.8,Sports & Performance,False
TrPEIepZGx8,Top Investor's WARNING: End Of Middle Class Dreams & Loan Trap |Saurabh Mukherjea |FO535 Raj Shamani,2026-07-14 15:39:36+00:00,1313397,19004,1485,6780.0,35.896831723032406,113.0,36588,1.56,11.3,Geopolitics & Defense,True
6jBaJkwfL1s,"Why Indians Get Diabetes So Young: Sugar, Diet & Genetics | Dr. V Mohan | FO534 Raj Shamani",2026-07-11 15:39:16+00:00,775439,14605,831,7526.0,38.897063204513884,125.4,19936,1.99,10.7,"Health, Science & Mind",False
GnCdluU-EIs,Secrets Of Ultra Rich: Wealth Formula & Billion-Dollar Bets | Srini Sriniwasan | FO533 Raj Shamani,2026-07-09 15:39:10+00:00,834782,15790,731,8284.0,40.89713264895833,138.1,20412,1.98,8.8,Finance & Wealth,True
N_eeQVXZOeo,"Mumbai Floods, BMC, Metro, Potholes & How A City Really Works | Ms Ashwini Bhide | FO532 Raj Shamani",2026-07-07 15:39:29+00:00,449297,7432,1317,10161.0,42.89691274155093,169.4,10474,1.95,29.3,Startups & Business,False
