video_id,title,published_at,view_count,like_count,comment_count,duration_seconds
zN_lhtJFsgg,How Osama Bin Laden Built a Terror Network & 9/11 | Aimen Dean | FO550 Raj Shamani,2026-08-18T15:39:01Z,524727,11568,966,9343.0
YMTJw1G3yOM,Human Behaviour Expert: How to Read People & Command Respect | Mark Bowden | FO549 Raj Shamani,2026-08-15T15:39:08Z,460048,13130,616,9482.0
h-0u0ui8ESQ,9 Titles in One Year: How Anahat Singh Became World Champion at 18 | FO548 Raj Shamani,2026-08-13T15:39:38Z,651226,14837,887,5308.0
ywd-Ve8a8Tc,World Order Is a Lie: The Next 50 Years Will Change Everything  | Prof. Jiang | FO547 Raj Shamani,2026-08-11T15:39:20Z,1770526,39088,4887,9061.0
czkPKQ9VIU8,"How To Build & Scale a Brand: Walmart, Retail & Product Strategy | Puneet Nanda | FO546 Raj Shamani",2026-08-08T15:39:27Z,282001,5250,276,5399.0
zSkxqtTbEGU,Top Geopolitical Expert: Why America Is No Longer The World's Leader | Ian Bremmer|FO545 Raj Shamani,2026-08-06T15:39:28Z,1019111,14373,763,6254.0
QPXJ3VL7Li4,Former CIA Agent's Warning: China Doesn't Need A War To Beat America |John Sipher |FO544 Raj Shamani,2026-08-04T15:39:06Z,933578,15865,998,5552.0
5pZuXAUke9w,Why Fraud Calls Work: The Psychology of Trust & Authority | Sunil Bajpai | FO543 Raj Shamani,2026-08-01T15:39:01Z,176805,2931,277,5380.0
H8VLl6Y77NQ,Foreign Affairs Expert: The Hidden Rules That Control The World | Sreeram Chaulia |FO542 Raj Shamani,2026-07-30T15:39:30Z,406610,6591,475,5263.0
t8sS6Lk3cYo,Psychiatrist Explains: Psychology Behind Cheating & Choosing Wrong Partner |Dr. K |FO541 Raj Shamani,2026-07-28T15:39:09Z,459125,8190,616,7650.0
5UTkieEX-bA,Money Trap: Why More Money Won’t Make You Rich & How to Escape | Alok Sama | FO540 Raj Shamani,2026-07-25T15:39:16Z,508285,8506,437,4496.0
jr0k_fOR1b0,Truth About India's Tax System: Why Honest Taxpayers Get Punished | Mohandas Pai | FO539 Raj Shamani,2026-07-23T15:39:37Z,396415,6855,781,7807.0
X1Q0ZCcPiC8,"The Real Satinder Sartaaj: Sufi Music, Punjabi Culture & Life Beyond Fame | FO538 Raj Shamani",2026-07-21T15:39:18Z,820463,17991,1316,5683.0
PXMyK7JxGOk,Billion-Dollar Founder: Why Success In India Is So Hard | Kiran Mazumdar-Shaw | FO537 Raj Shamani,2026-07-18T15:39:04Z,221462,4772,570,7614.0
a3UVcK612iU,"Astronaut Shubhanshu Shukla On Space, ISS, Zero Gravity & Human Body | FO536 Raj Shamani",2026-07-16T15:39:39Z,714795,18460,1132,6180.0
TrPEIepZGx8,Top Investor's WARNING: End Of Middle Class Dreams & Loan Trap |Saurabh Mukherjea |FO535 Raj Shamani,2026-07-14T15:39:36Z,1313397,19004,1485,6780.0
6jBaJkwfL1s,"Why Indians Get Diabetes So Young: Sugar, Diet & Genetics | Dr. V Mohan | FO534 Raj Shamani",2026-07-11T15:39:16Z,775439,14605,831,7526.0
GnCdluU-EIs,Secrets Of Ultra Rich: Wealth Formula & Billion-Dollar Bets | Srini Sriniwasan | FO533 Raj Shamani,2026-07-09T15:39:10Z,834782,15790,731,8284.0
N_eeQVXZOeo,"Mumbai Floods, BMC, Metro, Potholes & How A City Really Works | Ms Ashwini Bhide | FO532 Raj Shamani",2026-07-07T15:39:29Z,449297,7432,1317,10161.0
